epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.707,2.33049,3.55744,2.04756,0.163,0.13385,0.05347,0.01591,2.59206,3.79734,2.29845,0.000415833,0.000415833,0.000415833
2,261.424,2.38782,3.13715,2.08415,0.18217,0.14495,0.07596,0.02602,2.4986,3.95154,2.18795,0.000805027,0.000805027,0.000805027
3,387.249,2.3254,3.04412,2.0488,0.16265,0.18607,0.07892,0.02383,2.52903,4.45613,2.2773,0.00116672,0.00116672,0.00116672
4,509.392,2.26796,2.96118,1.99155,0.19109,0.16803,0.10702,0.03667,2.37688,3.23817,2.11262,0.00112625,0.00112625,0.00112625
5,137.255,2.20106,2.87653,1.93802,0.17981,0.19528,0.09973,0.03355,2.31618,3.15391,2.03484,0.001085,0.001085,0.001085
6,250.249,2.14576,2.75375,1.88696,0.25145,0.20875,0.14233,0.05194,2.25499,3.06639,1.9966,0.00104375,0.00104375,0.00104375
7,364.674,2.1013,2.63134,1.83817,0.28629,0.24647,0.18609,0.06962,2.20536,2.8826,1.92901,0.0010025,0.0010025,0.0010025
8,478.861,2.05059,2.57802,1.80813,0.24179,0.25475,0.18212,0.06901,2.14006,2.84336,1.88192,0.00096125,0.00096125,0.00096125
9,591.415,2.04882,2.54577,1.79137,0.28417,0.28171,0.20605,0.07543,2.12574,2.76852,1.87216,0.00092,0.00092,0.00092
10,704.582,2.01788,2.50324,1.77565,0.29639,0.27209,0.20613,0.07915,2.1435,2.69959,1.84392,0.00087875,0.00087875,0.00087875
11,818.624,2.0036,2.45848,1.7625,0.3291,0.29112,0.23039,0.08724,2.08743,2.84595,1.80768,0.0008375,0.0008375,0.0008375
12,932.719,1.9808,2.44312,1.75218,0.25415,0.29352,0.20646,0.08083,2.10831,2.90218,1.88094,0.00079625,0.00079625,0.00079625
13,1046.93,1.95536,2.38407,1.74123,0.3512,0.31001,0.25825,0.1036,2.03607,2.56461,1.79131,0.000755,0.000755,0.000755
14,1161.99,1.95455,2.35336,1.70432,0.3584,0.31863,0.27419,0.10893,2.0581,2.51176,1.80272,0.00071375,0.00071375,0.00071375
15,1275.22,1.9242,2.2932,1.7027,0.36067,0.33899,0.28664,0.11419,2.01113,2.49376,1.77434,0.0006725,0.0006725,0.0006725
16,1388.45,1.91567,2.28695,1.69155,0.34086,0.32159,0.27063,0.1101,2.02415,2.48486,1.80913,0.00063125,0.00063125,0.00063125
17,1502.27,1.89116,2.23894,1.67009,0.36715,0.32619,0.27696,0.1135,1.99579,2.44417,1.75797,0.00059,0.00059,0.00059
18,1616.67,1.88038,2.22068,1.67006,0.40999,0.35122,0.31593,0.13275,1.99181,2.36412,1.75165,0.00054875,0.00054875,0.00054875
19,1730.69,1.87158,2.19635,1.65554,0.39919,0.36839,0.32049,0.13147,1.967,2.39412,1.74068,0.0005075,0.0005075,0.0005075
20,1844.75,1.85769,2.14668,1.6439,0.43473,0.36403,0.33117,0.14072,1.95406,2.41678,1.72726,0.00046625,0.00046625,0.00046625
21,1959.85,1.88768,2.13697,1.71037,0.4268,0.35371,0.33308,0.14065,1.96086,2.38517,1.71568,0.000425,0.000425,0.000425
22,2074.68,1.87633,2.09713,1.70998,0.44612,0.37395,0.35575,0.15083,1.93576,2.34428,1.70335,0.00038375,0.00038375,0.00038375
23,2188.23,1.8508,2.0599,1.6941,0.45577,0.39115,0.36389,0.15643,1.9224,2.24856,1.69995,0.0003425,0.0003425,0.0003425
24,2302.46,1.82947,2.02348,1.6811,0.46704,0.38835,0.37171,0.16294,1.91647,2.22171,1.69837,0.00030125,0.00030125,0.00030125
25,2417.7,1.82038,1.98989,1.67129,0.47074,0.38038,0.36477,0.16184,1.92043,2.22716,1.70485,0.00026,0.00026,0.00026
26,2531.45,1.79217,1.94669,1.66091,0.4924,0.38975,0.38743,0.17041,1.9043,2.17797,1.69664,0.00021875,0.00021875,0.00021875
27,2644.95,1.78502,1.91565,1.63906,0.49138,0.41189,0.39696,0.17834,1.90297,2.16039,1.68597,0.0001775,0.0001775,0.0001775
28,2759.36,1.7578,1.87547,1.62518,0.49431,0.40947,0.40192,0.17958,1.9021,2.14223,1.68917,0.00013625,0.00013625,0.00013625
29,2873.82,1.73981,1.83924,1.60689,0.4947,0.40433,0.40664,0.17985,1.90498,2.12445,1.68057,9.5e-05,9.5e-05,9.5e-05
30,2987.53,1.72232,1.80713,1.59272,0.5097,0.41894,0.41926,0.18867,1.89494,2.10587,1.67908,5.375e-05,5.375e-05,5.375e-05
