epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1486,2.27732,4.09932,1.99843,0.19529,0.16657,0.08623,0.02963,2.38216,4.53833,2.01497,0.000415833,0.000415833,0.000415833
2,166.094,2.26671,3.17696,1.98548,0.18161,0.19166,0.09433,0.03171,2.37366,3.51494,2.07746,0.000805027,0.000805027,0.000805027
3,243.909,2.23831,2.95866,1.95648,0.16437,0.15347,0.07793,0.02756,2.36998,3.37838,2.05369,0.00116672,0.00116672,0.00116672
4,320.836,2.2053,2.88891,1.94902,0.18705,0.17649,0.09001,0.03171,2.33035,3.40129,2.05032,0.00112625,0.00112625,0.00112625
5,397.637,2.1355,2.73496,1.87066,0.27404,0.2105,0.14274,0.05412,2.21889,3.03848,1.94384,0.001085,0.001085,0.001085
6,475.415,2.08229,2.63897,1.82942,0.31907,0.21091,0.15835,0.0615,2.28892,3.04692,1.95414,0.00104375,0.00104375,0.00104375
7,557.576,2.06311,2.58827,1.81219,0.3113,0.25938,0.18987,0.07535,2.1842,2.8886,1.93727,0.0010025,0.0010025,0.0010025
8,634.703,2.033,2.54835,1.79337,0.30612,0.26312,0.19188,0.07411,2.17441,2.80238,1.87761,0.00096125,0.00096125,0.00096125
9,711.793,2.00909,2.48062,1.7728,0.3273,0.29921,0.23732,0.09677,2.10066,2.74544,1.83097,0.00092,0.00092,0.00092
10,793.032,1.97691,2.43001,1.73738,0.33329,0.28545,0.22705,0.09047,2.12844,2.65137,1.80118,0.00087875,0.00087875,0.00087875
11,870.497,1.95647,2.40039,1.72469,0.37339,0.29603,0.25309,0.10365,2.09599,2.61087,1.82579,0.0008375,0.0008375,0.0008375
12,947.911,1.9705,2.36677,1.72526,0.34932,0.30586,0.26047,0.10853,2.06799,2.54239,1.83213,0.00079625,0.00079625,0.00079625
13,1025.86,1.92854,2.34135,1.69631,0.36214,0.31507,0.26228,0.11074,2.04321,2.60343,1.78092,0.000755,0.000755,0.000755
14,1107.91,1.92594,2.32535,1.69581,0.42527,0.3368,0.28807,0.12133,2.03154,2.59614,1.76816,0.00071375,0.00071375,0.00071375
15,1185.1,1.90021,2.29523,1.68941,0.35794,0.34787,0.28881,0.1214,2.02305,2.48183,1.77511,0.0006725,0.0006725,0.0006725
16,1262.3,1.87886,2.24671,1.66158,0.40804,0.34712,0.3174,0.13425,2.00078,2.41538,1.75872,0.00063125,0.00063125,0.00063125
17,1341.56,1.87235,2.22682,1.65771,0.39804,0.34293,0.29161,0.12657,2.01379,2.40272,1.76255,0.00059,0.00059,0.00059
18,1420.07,1.86218,2.21721,1.64856,0.40241,0.35369,0.3156,0.14099,1.99021,2.3697,1.7297,0.00054875,0.00054875,0.00054875
19,1497.23,1.85287,2.18231,1.63586,0.42509,0.35598,0.32695,0.14537,1.97184,2.33166,1.72336,0.0005075,0.0005075,0.0005075
20,1574.56,1.83983,2.15507,1.63108,0.4127,0.36732,0.33182,0.14605,1.98057,2.3234,1.73796,0.00046625,0.00046625,0.00046625
21,1652.17,1.85644,2.11446,1.6852,0.43811,0.37015,0.35506,0.1571,1.96138,2.28747,1.70182,0.000425,0.000425,0.000425
22,1735.72,1.83356,2.09188,1.68118,0.45024,0.37174,0.35234,0.15634,1.95618,2.28418,1.70766,0.00038375,0.00038375,0.00038375
23,1813.41,1.82156,2.05212,1.67473,0.4513,0.39257,0.36124,0.16177,1.94293,2.23958,1.70639,0.0003425,0.0003425,0.0003425
24,1889,1.79188,2.00843,1.65022,0.47227,0.39227,0.37364,0.17091,1.93443,2.186,1.69537,0.00030125,0.00030125,0.00030125
25,1965.56,1.78976,1.98667,1.64236,0.47141,0.39971,0.39101,0.17866,1.92313,2.19364,1.67875,0.00026,0.00026,0.00026
26,2042.1,1.76315,1.95435,1.62697,0.47463,0.41386,0.39149,0.17872,1.91809,2.16782,1.68521,0.00021875,0.00021875,0.00021875
27,2118.34,1.74961,1.92865,1.62081,0.48638,0.4109,0.40081,0.18363,1.91197,2.13983,1.66429,0.0001775,0.0001775,0.0001775
28,2195.17,1.73252,1.89212,1.61126,0.52042,0.41015,0.41296,0.19033,1.91334,2.11661,1.67154,0.00013625,0.00013625,0.00013625
29,2275.83,1.7283,1.85852,1.60286,0.5244,0.41151,0.41934,0.1947,1.91209,2.10422,1.6639,9.5e-05,9.5e-05,9.5e-05
30,2354.79,1.70562,1.84002,1.58992,0.5189,0.41211,0.42078,0.19702,1.90108,2.09555,1.65895,5.375e-05,5.375e-05,5.375e-05
