slice,,YOLO11n,YOLO11s
cls,D00,0.6032,0.5675
cls,D10,0.5906,0.5866
cls,D20,0.4793,0.4756
cls,D40,0.7631,0.7167
area_bin,small,0.7911,0.7398
area_bin,medium,0.6053,0.5944
area_bin,large,0.3888,0.3794
country,China,0.4139,0.4158
country,Czech,0.8054,0.8093
country,India,0.7155,0.7109
country,Japan,0.5819,0.5586
country,Norway,0.7994,0.7708
country,United_States,0.4097,0.3552
bright_q,darkest,0.6307,0.6104
bright_q,q2,0.6191,0.6022
bright_q,q3,0.5614,0.5378
bright_q,brightest,0.5692,0.5345
blur_q,blurriest,0.6398,0.6369
blur_q,q2,0.5853,0.5554
blur_q,q3,0.5742,0.5448
blur_q,sharpest,0.5811,0.5478
multi,multi-damage,0.6364,0.6049
multi,single,0.4245,0.4319
