image_id_a,image_id_b,hamming,thumb_rmse
train/crack500__20160222_081102,train/crack500__20160222_081113,6,0.03597142547369003
train/crack500__20160222_081102,test/crack500__IMG_5752,6,0.037640709429979324
train/crack500__20160222_081102,test/crack500__IMG_5758,4,0.04806235060095787
train/crack500__20160222_081102,test/crack500__IMG_5763,5,0.043369024991989136
train/crack500__20160222_081111,train/crack500__20160222_081113,6,0.016946807503700256
train/crack500__20160222_081111,test/crack500__IMG_5752,6,0.03138380125164986
train/crack500__20160222_081111,test/crack500__IMG_5763,5,0.035035308450460434
train/crack500__20160222_081113,val/pothole600__0115,4,0.04624452441930771
train/crack500__20160222_081113,test/crack500__IMG_5752,2,0.029608719050884247
train/crack500__20160222_081113,test/crack500__IMG_5763,3,0.03351598605513573
train/crack500__20160222_165031,val/crack500__20160222_164851,4,0.027185458689928055
train/crack500__20160328_151814,test/crack500__20160330_163946,5,0.04615708440542221
train/cracks-and-potholes-in-road__1007607_RS_386_386RS289112_28960,train/cracks-and-potholes-in-road__1007608_RS_386_386RS289112_28966,6,0.04441332444548607
train/cracks-and-potholes-in-road__1014615_RS_386_386RS124739_30000,train/cracks-and-potholes-in-road__1014616_RS_386_386RS124739_30005,4,0.02819267101585865
train/cracks-and-potholes-in-road__1014615_RS_386_386RS124739_30000,train/cracks-and-potholes-in-road__1014617_RS_386_386RS124739_30010,6,0.03199633210897446
train/cracks-and-potholes-in-road__1014616_RS_386_386RS124739_30005,train/cracks-and-potholes-in-road__1014617_RS_386_386RS124739_30010,6,0.030032264068722725
train/cracks-and-potholes-in-road__1014617_RS_386_386RS124739_30010,train/cracks-and-potholes-in-road__1014618_RS_386_386RS124739_30015,5,0.022590940818190575
train/cracks-and-potholes-in-road__1014620_RS_386_386RS124739_30026,train/cracks-and-potholes-in-road__1014621_RS_386_386RS124739_30030,5,0.023099111393094063
train/cracks-and-potholes-in-road__1014627_RS_386_386RS124739_30061,train/cracks-and-potholes-in-road__1014629_RS_386_386RS124739_30070,6,0.047383230179548264
train/cracks-and-potholes-in-road__1014637_RS_386_386RS124739_30110,train/cracks-and-potholes-in-road__1014640_RS_386_386RS124739_30127,6,0.04854875057935715
train/cracks-and-potholes-in-road__1014638_RS_386_386RS124739_30115,train/cracks-and-potholes-in-road__1014640_RS_386_386RS124739_30127,5,0.04082538187503815
train/cracks-and-potholes-in-road__1014638_RS_386_386RS124739_30115,train/cracks-and-potholes-in-road__1014641_RS_386_386RS124739_30130,5,0.04204860329627991
train/cracks-and-potholes-in-road__1014639_RS_386_386RS124739_30121,train/cracks-and-potholes-in-road__1014645_RS_386_386RS124739_30150,6,0.04277101159095764
train/cracks-and-potholes-in-road__1014640_RS_386_386RS124739_30127,train/cracks-and-potholes-in-road__1014641_RS_386_386RS124739_30130,6,0.038834698498249054
train/cracks-and-potholes-in-road__1014641_RS_386_386RS124739_30130,train/cracks-and-potholes-in-road__1014643_RS_386_386RS124739_30140,5,0.0393737256526947
train/cracks-and-potholes-in-road__1014648_RS_386_386RS124739_30165,train/cracks-and-potholes-in-road__1014649_RS_386_386RS124739_30170,5,0.03627161309123039
train/cracks-and-potholes-in-road__1014651_RS_386_386RS124739_30180,train/cracks-and-potholes-in-road__1014652_RS_386_386RS124739_30185,5,0.03463089093565941
train/cracks-and-potholes-in-road__1014651_RS_386_386RS124739_30180,train/cracks-and-potholes-in-road__1014658_RS_386_386RS124739_30216,6,0.04797947034239769
