image_id,split,image_path,mask_path,width,height,brightness,dhash,sha1,mask_width,mask_height,damage_pixel_pct,n_components,is_corrupt,source_component,dims_match,is_empty_mask,duplicate_group_id,in_duplicate_group
train/cnr-road-dataset__001,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__001.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__001.png,960,1280,157.1562042236328,142043354297212889,5ae9814883cf35e09cd92548440075f52ca31a8c,960,1280,7.766927083333333,1,False,cnr-road-dataset,True,False,456,False
train/cnr-road-dataset__002,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__002.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__002.png,1200,1200,114.99842071533203,14766312379220347305,1f5ea8cbf00c7cbd9009a6fad23894b515cfed68,1200,1200,1.494375,1,False,cnr-road-dataset,True,False,457,False
train/cnr-road-dataset__003,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__003.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__003.png,968,1296,162.6446990966797,12896205443181725555,d32d0e2f93c3925fa2c869a9013457d310cd7abf,968,1296,7.901617181920212,6,False,cnr-road-dataset,True,False,458,False
train/cnr-road-dataset__004,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__004.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__004.png,1200,900,129.62998962402344,17938061951625648849,fa94e61d90d0be2814f1ef87e0b0b8d43200adb7,1200,900,13.510092592592592,1,False,cnr-road-dataset,True,False,459,False
train/cnr-road-dataset__006,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__006.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__006.png,1200,800,105.5746078491211,10732143761490320420,ce0521cfba5089612f66b6cf518c29474bdab2f6,1200,800,8.051041666666666,1,False,cnr-road-dataset,True,False,460,False
train/cnr-road-dataset__008,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__008.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__008.png,1300,956,123.2470932006836,17495105474523738635,285240b1470dfdfb2bbc11d246575f432a3cb760,1300,956,19.364901834567107,6,False,cnr-road-dataset,True,False,461,False
train/cnr-road-dataset__009,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__009.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__009.png,1200,1200,156.1315155029297,14933076097290778754,de913bffc84e9ad5bc8ef74684ef59d9095f4c91,1200,1200,9.014305555555556,1,False,cnr-road-dataset,True,False,462,False
train/cnr-road-dataset__011,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__011.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__011.png,1200,675,87.04288482666016,9443784044403978866,be2a977a2c1916cec8ee7c6da426a883900da407,1200,675,21.830864197530865,1,False,cnr-road-dataset,True,False,463,False
train/cnr-road-dataset__012,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__012.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__012.png,4000,3000,130.30807495117188,16136114670367341033,a6bcb9a8c3529ee69d45d1c3cc0172d0afa8633d,4000,3000,10.418025,3,False,cnr-road-dataset,True,False,464,False
train/cnr-road-dataset__013,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__013.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__013.png,4256,2832,113.58882141113281,1960451288883852340,3529b36c8400199302c505d339a7f20874365a21,4256,2832,38.12776943683361,2,False,cnr-road-dataset,True,False,465,False
train/cnr-road-dataset__014,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__014.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__014.png,3500,2334,145.93971252441406,11813777774462530016,b502e0665611298814eb17a412b8ca1932d0f9f0,3500,2334,22.533223160729587,2,False,cnr-road-dataset,True,False,466,False
train/cnr-road-dataset__015,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__015.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__015.png,4200,2800,127.95614624023438,17796186016302994112,2f5b4f3c95456082a44210f2f7f0393c20484803,4200,2800,6.560595238095238,3,False,cnr-road-dataset,True,False,467,False
train/cnr-road-dataset__016,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__016.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__016.png,1272,636,92.90758514404297,16386367182585932874,ec6c88eae6c6ed09f9f6236bf6f859b8ed82bd51,1272,636,17.01191111902219,6,False,cnr-road-dataset,True,False,468,False
train/cnr-road-dataset__017,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__017.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__017.png,1300,986,140.88040161132812,7384562768432119367,fa4889a24fc9bdd45139c7d8ff905683461d7946,1300,986,32.229599001404274,1,False,cnr-road-dataset,True,False,469,False
train/cnr-road-dataset__018,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__018.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__018.png,1200,675,118.7514877319336,8078488938303504608,ba05fc52c68a865b2e915ae235da66f45b5b77a6,1200,675,56.34765432098765,2,False,cnr-road-dataset,True,False,470,False
train/cnr-road-dataset__019,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__019.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__019.png,1632,1224,170.9732666015625,2188802773250250242,ca8cde7326d66b2507a701ae4c9cc385000711cb,1632,1224,4.375370450467768,2,False,cnr-road-dataset,True,False,471,False
train/cnr-road-dataset__020,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/cnr-road-dataset__020.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/cnr-road-dataset__020.png,1272,636,83.6868896484375,15501141597764417566,1c7e2105ee76c6de364b375a8cfe32e3b39509b5,1272,636,32.353842806851,2,False,cnr-road-dataset,True,False,472,False
train/crack500__20160222_081011,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/crack500__20160222_081011.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/crack500__20160222_081011.png,2560,1440,134.29847717285156,3472328298643595360,de0c327a03367349d8d27d1e99aeeea7dcff93b9,2560,1440,0.0,0,False,crack500,True,True,473,False
train/crack500__20160222_081031,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/crack500__20160222_081031.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/crack500__20160222_081031.png,2560,1440,130.9070587158203,13891514199555225672,55fedfbc167ec60e3a896d91de04e87e7c96e3e0,2560,1440,0.0,0,False,crack500,True,True,474,False
train/crack500__20160222_081102,train,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/images/crack500__20160222_081102.jpg,/Users/foury333/Desktop/cv-road-damage-inspection-system-main/Pothole Mix/pothole_mix_prepared/train/masks/crack500__20160222_081102.png,2560,1440,130.54421997070312,18004502904833,1fe188d5dc873f24fcd845f00070a5065d9e7dfd,2560,1440,0.0,0,False,crack500,True,True,3009,True
