,DeepLabV3-MobileNetV3,SegFormer-B0
threshold,0.5,0.5
pixel_accuracy,0.9861546395316957,0.9876336900014726
miou,0.8195575320517896,0.8259682385034656
background_iou,0.9857836941285968,0.9873230346043981
pothole_iou,0.6533313699749823,0.6646134424025331
pothole_dice,0.7903211441332155,0.7985198550881554
pothole_precision,0.788921916224177,0.86225537950698
pothole_recall,0.791725344187871,0.7435581038364765
pothole_f1,0.7903211441332155,0.7985198550881555
mean_boundary_f1,0.7188130526789743,0.7333556115125932
inference_ms,12.149248123168945,12.546257972717285
parameters_M,11.024236,3.714658
peak_gpu_mem_MB,292.34176,420.270592
training_seconds_last_session,7.700920104980469e-05,8.106231689453125e-05
