epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.357,2.28958,3.41073,2.03569,0.17061,0.13778,0.05663,0.01802,2.58137,4.10073,2.25247,0.000415833,0.000415833,0.000415833
2,254.563,2.2973,2.97552,2.06539,0.14298,0.10028,0.05245,0.01677,2.58141,3.52082,2.31857,0.000805027,0.000805027,0.000805027
3,374.163,2.28115,2.95355,2.04203,0.17342,0.19968,0.10021,0.03494,2.40397,3.86422,2.21824,0.00116672,0.00116672,0.00116672
4,492.138,2.21255,2.86911,1.99102,0.43526,0.15617,0.13214,0.04652,2.28177,3.09099,2.03485,0.00112625,0.00112625,0.00112625
5,608.99,2.13626,2.7154,1.92062,0.286,0.22187,0.15432,0.05703,2.24774,2.88246,2.00876,0.001085,0.001085,0.001085
6,725.125,2.08231,2.62314,1.86554,0.36291,0.25005,0.20052,0.07819,2.18905,2.9955,1.9581,0.00104375,0.00104375,0.00104375
7,842.341,2.04779,2.53896,1.82945,0.37323,0.23968,0.18823,0.07374,2.18217,2.8062,1.915,0.0010025,0.0010025,0.0010025
8,962.756,2.01731,2.52949,1.81056,0.34174,0.287,0.19335,0.07507,2.16432,2.88653,1.8948,0.00096125,0.00096125,0.00096125
9,1078.93,1.99819,2.44715,1.78955,0.34342,0.29135,0.22528,0.08711,2.10275,2.68031,1.8922,0.00092,0.00092,0.00092
10,1196.11,1.96319,2.39439,1.75941,0.33006,0.31244,0.23615,0.09515,2.08816,2.52818,1.81481,0.00087875,0.00087875,0.00087875
11,1311.92,1.93865,2.35396,1.74518,0.35769,0.30021,0.26455,0.10664,2.06888,2.50704,1.85198,0.0008375,0.0008375,0.0008375
12,1429.05,1.948,2.30495,1.7432,0.36427,0.33265,0.28312,0.11687,2.06741,2.48129,1.83254,0.00079625,0.00079625,0.00079625
13,1546.97,1.90896,2.2878,1.70682,0.38213,0.33365,0.28475,0.11627,2.02925,2.51192,1.83833,0.000755,0.000755,0.000755
14,1665.48,1.88895,2.28506,1.70634,0.41548,0.34461,0.31158,0.13374,1.99087,2.47618,1.77969,0.00071375,0.00071375,0.00071375
15,1781.61,1.87883,2.24186,1.69587,0.35319,0.35212,0.30117,0.12694,1.9769,2.44535,1.77309,0.0006725,0.0006725,0.0006725
16,1900.77,1.85931,2.16973,1.66406,0.43119,0.36255,0.32636,0.14057,1.98499,2.3153,1.75538,0.00063125,0.00063125,0.00063125
17,2018.14,1.84927,2.15224,1.66191,0.40669,0.35354,0.30918,0.13227,1.99577,2.35323,1.79193,0.00059,0.00059,0.00059
18,2135.6,1.8397,2.14934,1.65676,0.43709,0.36827,0.34698,0.15212,1.96551,2.26546,1.73419,0.00054875,0.00054875,0.00054875
19,2258.69,1.8197,2.11171,1.6407,0.44456,0.37581,0.34753,0.15096,1.95142,2.27553,1.74269,0.0005075,0.0005075,0.0005075
20,2379.87,1.80008,2.08299,1.63158,0.44101,0.39363,0.36111,0.15769,1.94904,2.23368,1.73697,0.00046625,0.00046625,0.00046625
21,2510.08,1.8219,2.05312,1.69532,0.46612,0.39163,0.37181,0.16313,1.95282,2.2335,1.72554,0.000425,0.000425,0.000425
22,2633.75,1.79018,2.01999,1.67666,0.45677,0.39096,0.36959,0.16406,1.93756,2.18367,1.72902,0.00038375,0.00038375,0.00038375
23,2754.48,1.79011,1.97153,1.67168,0.47565,0.41329,0.39139,0.1716,1.9361,2.17009,1.72714,0.0003425,0.0003425,0.0003425
24,2870.51,1.77076,1.92823,1.6602,0.4852,0.41335,0.40356,0.1794,1.91575,2.10647,1.70495,0.00030125,0.00030125,0.00030125
25,2988.72,1.76138,1.90668,1.64716,0.47995,0.41459,0.39426,0.17956,1.89851,2.12197,1.70622,0.00026,0.00026,0.00026
26,3105.76,1.73331,1.85901,1.62775,0.49672,0.42278,0.41095,0.18543,1.90998,2.06055,1.70569,0.00021875,0.00021875,0.00021875
27,3224.66,1.70961,1.83169,1.62195,0.49137,0.42009,0.41458,0.18706,1.90499,2.05672,1.70871,0.0001775,0.0001775,0.0001775
28,3345.14,1.69964,1.80272,1.6161,0.5176,0.43982,0.43443,0.1947,1.90349,2.02485,1.69806,0.00013625,0.00013625,0.00013625
29,3466.56,1.68736,1.76664,1.60068,0.51618,0.44832,0.4381,0.1982,1.90249,2.00856,1.69779,9.5e-05,9.5e-05,9.5e-05
30,3586.98,1.6616,1.73782,1.58152,0.51998,0.44426,0.4377,0.19933,1.8986,2.00514,1.69659,5.375e-05,5.375e-05,5.375e-05
