model,stem,cls,conf,rel_area,best_iou,kind
YOLO11n,China_Drone__China_Drone_000008,D10,0.6482,0.172487,0.6701,TP
YOLO11n,China_Drone__China_Drone_000008,D10,0.3098,0.244461,0.4728,FP_localization
YOLO11n,China_Drone__China_Drone_000017,D10,0.538,0.014362,0.7774,TP
YOLO11n,China_Drone__China_Drone_000032,D10,0.4776,0.012615,0.8279,TP
YOLO11n,China_Drone__China_Drone_000038,D00,0.352,0.102117,0.3322,FP_localization
YOLO11n,China_Drone__China_Drone_000046,D00,0.2547,0.025022,0.8365,TP
YOLO11n,China_Drone__China_Drone_000051,D00,0.41,0.015003,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000051,D10,0.395,0.086258,0.8815,TP
YOLO11n,China_Drone__China_Drone_000054,D10,0.5694,0.050625,0.8621,TP
YOLO11n,China_Drone__China_Drone_000069,D10,0.259,0.024225,0.7857,TP
YOLO11n,China_Drone__China_Drone_000075,D10,0.2452,0.004901,0.6926,TP
YOLO11n,China_Drone__China_Drone_000079,D10,0.3545,0.013802,0.8223,TP
YOLO11n,China_Drone__China_Drone_000079,D00,0.3458,0.187857,0.613,TP
YOLO11n,China_Drone__China_Drone_000082,D10,0.3146,0.008804,0.4013,FP_localization
YOLO11n,China_Drone__China_Drone_000082,D10,0.276,0.010167,0.6919,TP
YOLO11n,China_Drone__China_Drone_000082,D10,0.2649,0.003629,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000082,D00,0.2375,0.01898,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000092,D00,0.3792,0.024248,0.6578,TP
YOLO11n,China_Drone__China_Drone_000092,D00,0.3312,0.063068,0.2746,FP_localization
YOLO11n,China_Drone__China_Drone_000092,D00,0.3127,0.028707,0.605,TP
YOLO11n,China_Drone__China_Drone_000092,D00,0.2545,0.017504,0.4079,FP_localization
YOLO11n,China_Drone__China_Drone_000093,D00,0.3321,0.022685,0.8553,TP
YOLO11n,China_Drone__China_Drone_000093,D00,0.2482,0.01057,0.3713,FP_localization
YOLO11n,China_Drone__China_Drone_000093,D00,0.246,0.013791,0.5331,FP_duplicate
YOLO11n,China_Drone__China_Drone_000095,D00,0.4071,0.00803,0.0,FP_background
YOLO11n,China_Drone__China_Drone_000095,D10,0.2934,0.013039,0.4476,FP_localization
YOLO11n,China_Drone__China_Drone_000102,D10,0.6449,0.012302,0.8846,TP
YOLO11n,China_Drone__China_Drone_000113,D00,0.5026,0.0264,0.7473,TP
YOLO11n,China_Drone__China_Drone_000113,D10,0.4965,0.017983,0.8136,TP
YOLO11n,China_Drone__China_Drone_000113,D00,0.3813,0.05625,0.7726,TP
