model,stem,cls,rel_area,detected
YOLO11n,China_Drone__China_Drone_000008,D10,0.115585,True
YOLO11n,China_Drone__China_Drone_000017,D10,0.014099,True
YOLO11n,China_Drone__China_Drone_000032,D10,0.014935,True
YOLO11n,China_Drone__China_Drone_000032,D00,0.007725,False
YOLO11n,China_Drone__China_Drone_000038,D00,0.03392,False
YOLO11n,China_Drone__China_Drone_000046,D00,0.026779,True
YOLO11n,China_Drone__China_Drone_000051,D10,0.09306,True
YOLO11n,China_Drone__China_Drone_000053,D20,0.050869,False
YOLO11n,China_Drone__China_Drone_000054,D10,0.052567,True
YOLO11n,China_Drone__China_Drone_000064,D40,0.024414,False
YOLO11n,China_Drone__China_Drone_000069,D10,0.026367,True
YOLO11n,China_Drone__China_Drone_000075,D10,0.005089,True
YOLO11n,China_Drone__China_Drone_000079,D00,0.138401,True
YOLO11n,China_Drone__China_Drone_000079,D10,0.011444,True
YOLO11n,China_Drone__China_Drone_000079,D00,0.087166,False
YOLO11n,China_Drone__China_Drone_000082,D10,0.003662,False
YOLO11n,China_Drone__China_Drone_000082,D00,0.018349,False
YOLO11n,China_Drone__China_Drone_000082,D10,0.008926,True
YOLO11n,China_Drone__China_Drone_000082,D10,0.004364,False
YOLO11n,China_Drone__China_Drone_000092,D00,0.037743,True
YOLO11n,China_Drone__China_Drone_000092,D00,0.019394,True
YOLO11n,China_Drone__China_Drone_000092,D00,0.011395,False
YOLO11n,China_Drone__China_Drone_000093,D00,0.024872,True
YOLO11n,China_Drone__China_Drone_000095,D10,0.005836,False
YOLO11n,China_Drone__China_Drone_000102,D10,0.01181,True
YOLO11n,China_Drone__China_Drone_000113,D00,0.044518,True
YOLO11n,China_Drone__China_Drone_000113,D00,0.032684,False
YOLO11n,China_Drone__China_Drone_000113,D10,0.015987,True
YOLO11n,China_Drone__China_Drone_000113,D00,0.03479,True
YOLO11n,China_Drone__China_Drone_000135,D10,0.112984,True
YOLO11n,China_Drone__China_Drone_000140,D00,0.007721,False
YOLO11n,China_Drone__China_Drone_000140,D10,0.009537,True
YOLO11n,China_Drone__China_Drone_000179,D10,0.013802,True
YOLO11n,China_Drone__China_Drone_000179,D00,0.005726,False
YOLO11n,China_Drone__China_Drone_000180,D00,0.118908,True
YOLO11n,China_Drone__China_Drone_000184,D00,0.036942,True
YOLO11n,China_Drone__China_Drone_000184,D10,0.00705,True
YOLO11n,China_Drone__China_Drone_000184,D10,0.018826,True
YOLO11n,China_Drone__China_Drone_000184,D10,0.011669,False
YOLO11n,China_Drone__China_Drone_000194,D20,0.499626,True
YOLO11n,China_Drone__China_Drone_000207,D20,0.370235,True
YOLO11n,China_Drone__China_Drone_000207,D10,0.028038,False
YOLO11n,China_Drone__China_Drone_000235,D20,0.040749,False
YOLO11n,China_Drone__China_Drone_000247,D00,0.586761,True
YOLO11n,China_Drone__China_Drone_000254,D00,0.028427,False
YOLO11n,China_Drone__China_Drone_000254,D00,0.047905,True
YOLO11n,China_Drone__China_Drone_000264,D10,0.016388,False
YOLO11n,China_Drone__China_Drone_000264,D00,0.0093,True
YOLO11n,China_Drone__China_Drone_000267,D10,0.004539,False
YOLO11n,China_Drone__China_Drone_000267,D10,0.001602,False
YOLO11n,China_Drone__China_Drone_000268,D10,0.00935,False
YOLO11n,China_Drone__China_Drone_000279,D20,0.10025,False
YOLO11n,China_Drone__China_Drone_000287,D00,0.076904,True
YOLO11n,China_Drone__China_Drone_000299,D10,0.036087,True
YOLO11n,China_Drone__China_Drone_000299,D10,0.016491,False
YOLO11n,China_Drone__China_Drone_000300,D00,0.072124,True
YOLO11n,China_Drone__China_Drone_000317,D10,0.005959,True
YOLO11n,China_Drone__China_Drone_000317,D10,0.010994,True
YOLO11n,China_Drone__China_Drone_000318,D00,0.03624,True
YOLO11n,China_Drone__China_Drone_000345,D00,0.006695,False
YOLO11n,China_Drone__China_Drone_000345,D20,0.154877,False
YOLO11n,China_Drone__China_Drone_000357,D00,0.083656,False
YOLO11n,China_Drone__China_Drone_000360,D00,0.014282,True
YOLO11n,China_Drone__China_Drone_000363,D10,0.36042,False
YOLO11n,China_Drone__China_Drone_000392,D10,0.049164,True
YOLO11n,China_Drone__China_Drone_000392,D00,0.036186,False
YOLO11n,China_Drone__China_Drone_000392,D10,0.010609,False
YOLO11n,China_Drone__China_Drone_000392,D10,0.021172,True
YOLO11n,China_Drone__China_Drone_000404,D40,0.0149,True
YOLO11n,China_Drone__China_Drone_000404,D40,0.002136,False
YOLO11n,China_Drone__China_Drone_000405,D00,0.117897,True
YOLO11n,China_Drone__China_Drone_000406,D00,0.025658,True
YOLO11n,China_Drone__China_Drone_000410,D00,0.016983,True
YOLO11n,China_Drone__China_Drone_000411,D00,0.010681,True
YOLO11n,China_Drone__China_Drone_000411,D10,0.010216,False
YOLO11n,China_Drone__China_Drone_000411,D00,0.011009,False
YOLO11n,China_Drone__China_Drone_000416,D10,0.002529,True
YOLO11n,China_Drone__China_Drone_000416,D10,0.031242,True
YOLO11n,China_Drone__China_Drone_000429,D10,0.018478,True
YOLO11n,China_Drone__China_Drone_000429,D00,0.010441,True
YOLO11n,China_Drone__China_Drone_000430,D10,0.008518,True
YOLO11n,China_Drone__China_Drone_000431,D10,0.062943,True
YOLO11n,China_Drone__China_Drone_000440,D00,0.052929,True
YOLO11n,China_Drone__China_Drone_000442,D10,0.009224,True
YOLO11n,China_Drone__China_Drone_000452,D10,0.035622,False
YOLO11n,China_Drone__China_Drone_000454,D10,0.034218,True
YOLO11n,China_Drone__China_Drone_000471,D00,0.013504,True
YOLO11n,China_Drone__China_Drone_000481,D00,0.01722,True
YOLO11n,China_Drone__China_Drone_000493,D00,0.064224,False
YOLO11n,China_Drone__China_Drone_000503,D40,0.013718,False
YOLO11n,China_Drone__China_Drone_000503,D40,0.004326,True
YOLO11n,China_Drone__China_Drone_000503,D40,0.008789,False
YOLO11n,China_Drone__China_Drone_000506,D10,0.023415,False
YOLO11n,China_Drone__China_Drone_000515,D10,0.086334,False
YOLO11n,China_Drone__China_Drone_000515,D00,0.013481,False
YOLO11n,China_Drone__China_Drone_000515,D10,0.005447,False
YOLO11n,China_Drone__China_Drone_000563,D10,0.020931,True
YOLO11n,China_Drone__China_Drone_000589,D00,0.060635,True
YOLO11n,China_Drone__China_Drone_000595,D10,0.094757,True
YOLO11n,China_Drone__China_Drone_000605,D10,0.304092,True
YOLO11n,China_Drone__China_Drone_000615,D00,0.013126,True
YOLO11n,China_Drone__China_Drone_000615,D00,0.021606,True
YOLO11n,China_Drone__China_Drone_000615,D00,0.020607,True
YOLO11n,China_Drone__China_Drone_000620,D10,0.096771,False
YOLO11n,China_Drone__China_Drone_000620,D10,0.032616,False
YOLO11n,China_Drone__China_Drone_000622,D10,0.035355,True
YOLO11n,China_Drone__China_Drone_000634,D00,0.040516,True
YOLO11n,China_Drone__China_Drone_000640,D20,0.089607,False
YOLO11n,China_Drone__China_Drone_000648,D00,0.013779,True
YOLO11n,China_Drone__China_Drone_000650,D10,0.084274,True
YOLO11n,China_Drone__China_Drone_000650,D00,0.006409,False
YOLO11n,China_Drone__China_Drone_000653,D00,0.038395,False
YOLO11n,China_Drone__China_Drone_000656,D00,0.073853,True
YOLO11n,China_Drone__China_Drone_000662,D10,0.036575,True
YOLO11n,China_Drone__China_Drone_000695,D40,0.010117,True
YOLO11n,China_Drone__China_Drone_000695,D20,0.021149,True
YOLO11n,China_Drone__China_Drone_000708,D00,0.08382,True
YOLO11n,China_Drone__China_Drone_000708,D20,0.037292,False
YOLO11n,China_Drone__China_Drone_000711,D00,0.037575,False
YOLO11n,China_Drone__China_Drone_000711,D00,0.013924,True
YOLO11n,China_Drone__China_Drone_000711,D10,0.012131,True
YOLO11n,China_Drone__China_Drone_000715,D10,0.018211,True
YOLO11n,China_Drone__China_Drone_000717,D10,0.097198,False
YOLO11n,China_Drone__China_Drone_000733,D00,0.064201,True
YOLO11n,China_Drone__China_Drone_000738,D10,0.002678,True
YOLO11n,China_Drone__China_Drone_000738,D10,0.028027,False
