model,stem,cls,tp,fp,fn
YOLO11n,China_Drone__China_Drone_000008,D10,1,1,0
YOLO11n,China_Drone__China_Drone_000017,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000032,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000032,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000038,D00,0,1,1
YOLO11n,China_Drone__China_Drone_000046,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000051,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000051,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000053,D20,0,0,1
YOLO11n,China_Drone__China_Drone_000054,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000064,D40,0,0,1
YOLO11n,China_Drone__China_Drone_000069,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000075,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000079,D00,1,0,1
YOLO11n,China_Drone__China_Drone_000079,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000082,D00,0,1,1
YOLO11n,China_Drone__China_Drone_000082,D10,1,2,2
YOLO11n,China_Drone__China_Drone_000092,D00,2,2,1
YOLO11n,China_Drone__China_Drone_000093,D00,1,2,0
YOLO11n,China_Drone__China_Drone_000095,D00,0,1,0
YOLO11n,China_Drone__China_Drone_000095,D10,0,1,1
YOLO11n,China_Drone__China_Drone_000102,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000113,D00,2,0,1
YOLO11n,China_Drone__China_Drone_000113,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000135,D10,1,1,0
YOLO11n,China_Drone__China_Drone_000140,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000140,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000179,D00,0,0,1
YOLO11n,China_Drone__China_Drone_000179,D10,1,0,0
YOLO11n,China_Drone__China_Drone_000180,D00,1,0,0
YOLO11n,China_Drone__China_Drone_000184,D00,1,1,0
YOLO11n,China_Drone__China_Drone_000184,D10,2,0,1
YOLO11n,China_Drone__China_Drone_000194,D20,1,0,0
YOLO11n,China_Drone__China_Drone_000207,D10,0,0,1
YOLO11n,China_Drone__China_Drone_000207,D20,1,0,0
